MUNICÍPIO,ESTADO,ISOPLETA
Acrelândia,Acre,30
Assis Brasil,Acre,30
Brasiléia,Acre,30
Bujari,Acre,30
Capixaba,Acre,30
Cruzeiro do Sul,Acre,30
Epitaciolândia,Acre,30
Feijó,Acre,30
Jordão,Acre,30
Mâncio Lima,Acre,30
Manoel Urbano,Acre,30
Marechal Thaumaturgo,Acre,30
Plácido de Castro,Acre,30
Porto Acre,Acre,30
Porto Walter,Acre,30
Rio Branco,Acre,30
Rodrigues Alves,Acre,30
Santa Rosa do Purus,Acre,30
Sena Madureira,Acre,30
Senador Guiomard,Acre,30
Tarauacá,Acre,30
Xapuri,Acre,30
Água Branca,Alagoas,30
Anadia,Alagoas,30
Arapiraca,Alagoas,30
Atalaia,Alagoas,30
Barra de Santo Antônio,Alagoas,30
Barra de São Miguel,Alagoas,30
Batalha,Alagoas,30
Belém,Alagoas,30
Belo Monte,Alagoas,30
Boca da Mata,Alagoas,30
Branquinha,Alagoas,30
Cacimbinhas,Alagoas,30
Cajueiro,Alagoas,30
Campestre,Alagoas,30
Campo Alegre,Alagoas,30
Campo Grande,Alagoas,30
Canapi,Alagoas,30
Capela,Alagoas,30
Carneiros,Alagoas,30
Chã Preta,Alagoas,30
Coité do Nóia,Alagoas,30
Colônia Leopoldina,Alagoas,30
Coqueiro Seco,Alagoas,30
Coruripe,Alagoas,30
Craíbas,Alagoas,30
Delmiro Gouveia,Alagoas,30
Dois Riachos,Alagoas,30
Estrela de Alagoas,Alagoas,30
Feira Grande,Alagoas,30
Feliz Deserto,Alagoas,30
Flexeiras,Alagoas,30
Girau do Ponciano,Alagoas,30
Ibateguara,Alagoas,30
Igaci,Alagoas,30
Igreja Nova,Alagoas,30
Inhapi,Alagoas,30
Jacaré dos Homens,Alagoas,30
Jacuípe,Alagoas,30
Japaratinga,Alagoas,30
Jaramataia,Alagoas,30
Jequiá da Praia,Alagoas,30
Joaquim Gomes,Alagoas,30
Jundiá,Alagoas,30
Junqueiro,Alagoas,30
Lagoa da Canoa,Alagoas,30
Limoeiro de Anadia,Alagoas,30
Maceió,Alagoas,30
Major Isidoro,Alagoas,30
Mar Vermelho,Alagoas,30
Maragogi,Alagoas,30
Maravilha,Alagoas,30
Marechal Deodoro,Alagoas,30
Maribondo,Alagoas,30
Mata Grande,Alagoas,30
Matriz de Camaragibe,Alagoas,30
Messias,Alagoas,30
Minador do Negrão,Alagoas,30
Monteirópolis,Alagoas,30
Murici,Alagoas,30
Novo Lino,Alagoas,30
Olho D'água das Flores,Alagoas,30
Olho D'água do Casado,Alagoas,30
Olho D'água Grande,Alagoas,30
