uf,state_name,city,suggested_wind_m_s,fonte
CE,Ceará,Itapajé,,
DF,Distrito Federal,Brasília,,
MS,Mato Grosso do Sul,Amambai,,
MS,Mato Grosso do Sul,Aral Moreira,,
MS,Mato Grosso do Sul,Caarapó,,
MS,Mato Grosso do Sul,Coronel Sapucaia,,
MS,Mato Grosso do Sul,Eldorado,,
MS,Mato Grosso do Sul,Iguatemi,,
MS,Mato Grosso do Sul,Itaquiraí,,
MS,Mato Grosso do Sul,Japorã,,
MS,Mato Grosso do Sul,Juti,,
MS,Mato Grosso do Sul,Laguna Carapã,,
MS,Mato Grosso do Sul,Mundo Novo,,
MS,Mato Grosso do Sul,Naviraí,,
MS,Mato Grosso do Sul,Novo Horizonte do Sul,,
MS,Mato Grosso do Sul,Paranhos,,
MS,Mato Grosso do Sul,Ponta Porã,,
MS,Mato Grosso do Sul,Sete Quedas,,
MS,Mato Grosso do Sul,Tacuru,,
MT,Mato Grosso,Poxoréu,,
PA,Pará,Eldorado do Carajás,,
PR,Paraná,Alto Paraíso,,
PR,Paraná,Altônia,,
PR,Paraná,Assis Chateaubriand,,
PR,Paraná,Barracão,,
PR,Paraná,Bela Vista da Caroba,,
PR,Paraná,Bom Jesus do Sul,,
PR,Paraná,Brasilândia do Sul,,
PR,Paraná,Cafezal do Sul,,
PR,Paraná,Capanema,,
PR,Paraná,Capitão Leônidas Marques,,
PR,Paraná,Céu Azul,,
PR,Paraná,Diamante D'Oeste,,
PR,Paraná,Entre Rios do Oeste,,
PR,Paraná,Esperança Nova,,
PR,Paraná,Foz do Iguaçu,,
PR,Paraná,Francisco Alves,,
PR,Paraná,Guaíra,,
PR,Paraná,Icaraíma,,
PR,Paraná,Iporã,,
PR,Paraná,Itaipulândia,,
PR,Paraná,Lindoeste,,
PR,Paraná,Marechal Cândido Rondon,,
PR,Paraná,Maripá,,
PR,Paraná,Matelândia,,
PR,Paraná,Medianeira,,
PR,Paraná,Mercedes,,
PR,Paraná,Missal,,
PR,Paraná,Nova Santa Rosa,,
PR,Paraná,Ouro Verde do Oeste,,
PR,Paraná,Palotina,,
PR,Paraná,Pato Bragado,,
PR,Paraná,Planalto,,
PR,Paraná,Pranchita,,
PR,Paraná,Pérola,,
PR,Paraná,Pérola D'oeste,,
PR,Paraná,Quatro Pontes,,
PR,Paraná,Ramilândia,,
PR,Paraná,Realeza,,
PR,Paraná,Santa Helena,,
PR,Paraná,Santa Lúcia,,
PR,Paraná,Santa Tereza do Oeste,,
PR,Paraná,Santa Terezinha de Itaipu,,
PR,Paraná,Santo Antônio do Sudoeste,,
PR,Paraná,Serranópolis do Iguaçu,,
PR,Paraná,São Jorge do Patrocínio,,
PR,Paraná,São José das Palmeiras,,
PR,Paraná,São Miguel do Iguaçu,,
PR,Paraná,São Pedro do Iguaçu,,
PR,Paraná,Terra Roxa,,
PR,Paraná,Toledo,,
PR,Paraná,Tupãssi,,
PR,Paraná,Vera Cruz do Oeste,,
RN,Rio Grande do Norte,Campo Grande,,
RS,Rio Grande do Sul,Alegrete,,
RS,Rio Grande do Sul,Barra do Guarita,,
RS,Rio Grande do Sul,Barra do Quaraí,,
RS,Rio Grande do Sul,Chuí,,
RS,Rio Grande do Sul,Derrubadas,,
RS,Rio Grande do Sul,Esperança do Sul,,
RS,Rio Grande do Sul,Garruchos,,
RS,Rio Grande do Sul,Itaqui,,
RS,Rio Grande do Sul,Jaguarão,,
RS,Rio Grande do Sul,Miraguaí,,
RS,Rio Grande do Sul,Palmitinho,,
RS,Rio Grande do Sul,Pinheirinho do Vale,,
RS,Rio Grande do Sul,Quaraí,,
RS,Rio Grande do Sul,Santa Vitória do Palmar,,
RS,Rio Grande do Sul,Tenente Portela,,
RS,Rio Grande do Sul,Tiradentes do Sul,,
RS,Rio Grande do Sul,Três Passos,,
RS,Rio Grande do Sul,Uruguaiana,,
RS,Rio Grande do Sul,Vista Gaúcha,,
SE,Sergipe,Graccho Cardoso,,
SP,São Paulo,São Luíz do Paraitinga,,
